model,problem_idx,target_samples,cached_samples,complete,scan_mode
3B,12,256,256,True,file_exists_fast
3B,16,256,256,True,file_exists_fast
3B,20,256,256,True,file_exists_fast
3B,25,256,256,True,file_exists_fast
3B,31,256,256,True,file_exists_fast
3B,32,256,256,True,file_exists_fast
3B,36,256,256,True,file_exists_fast
3B,37,256,256,True,file_exists_fast
3B,41,256,256,True,file_exists_fast
3B,44,256,256,True,file_exists_fast
3B,46,256,256,True,file_exists_fast
3B,58,256,256,True,file_exists_fast
3B,65,256,256,True,file_exists_fast
3B,66,256,256,True,file_exists_fast
3B,68,256,256,True,file_exists_fast
3B,80,256,256,True,file_exists_fast
3B,90,256,256,True,file_exists_fast
3B,92,256,256,True,file_exists_fast
3B,98,256,256,True,file_exists_fast
3B,100,256,256,True,file_exists_fast
3B,110,256,256,True,file_exists_fast
3B,112,256,256,True,file_exists_fast
3B,119,256,256,True,file_exists_fast
3B,128,256,256,True,file_exists_fast
3B,129,256,256,True,file_exists_fast
3B,130,256,256,True,file_exists_fast
3B,131,256,256,True,file_exists_fast
3B,135,256,256,True,file_exists_fast
3B,137,256,256,True,file_exists_fast
3B,142,256,256,True,file_exists_fast
3B,153,256,256,True,file_exists_fast
3B,161,256,256,True,file_exists_fast
3B,164,256,256,True,file_exists_fast
3B,168,256,256,True,file_exists_fast
3B,173,256,256,True,file_exists_fast
3B,187,256,256,True,file_exists_fast
3B,188,256,256,True,file_exists_fast
3B,192,256,256,True,file_exists_fast
3B,198,256,256,True,file_exists_fast
3B,200,256,256,True,file_exists_fast
3B,203,256,256,True,file_exists_fast
3B,204,256,256,True,file_exists_fast
3B,205,256,256,True,file_exists_fast
3B,210,256,256,True,file_exists_fast
3B,213,256,256,True,file_exists_fast
3B,228,256,256,True,file_exists_fast
3B,232,256,256,True,file_exists_fast
3B,233,256,256,True,file_exists_fast
3B,235,256,256,True,file_exists_fast
3B,239,256,256,True,file_exists_fast
3B,241,256,256,True,file_exists_fast
3B,243,256,256,True,file_exists_fast
3B,248,256,256,True,file_exists_fast
3B,263,256,256,True,file_exists_fast
3B,264,256,256,True,file_exists_fast
3B,267,256,256,True,file_exists_fast
3B,274,256,256,True,file_exists_fast
3B,284,256,256,True,file_exists_fast
3B,292,256,256,True,file_exists_fast
3B,295,256,256,True,file_exists_fast
3B,296,256,256,True,file_exists_fast
3B,301,256,256,True,file_exists_fast
3B,302,256,256,True,file_exists_fast
3B,305,256,256,True,file_exists_fast
3B,308,256,256,True,file_exists_fast
3B,314,256,256,True,file_exists_fast
3B,318,256,256,True,file_exists_fast
3B,322,256,256,True,file_exists_fast
3B,326,256,256,True,file_exists_fast
3B,327,256,256,True,file_exists_fast
3B,332,256,256,True,file_exists_fast
3B,346,256,256,True,file_exists_fast
3B,349,256,256,True,file_exists_fast
3B,365,256,256,True,file_exists_fast
3B,369,256,256,True,file_exists_fast
3B,373,256,256,True,file_exists_fast
3B,377,256,256,True,file_exists_fast
3B,378,256,256,True,file_exists_fast
3B,379,256,256,True,file_exists_fast
3B,385,256,256,True,file_exists_fast
3B,390,256,256,True,file_exists_fast
3B,391,256,256,True,file_exists_fast
3B,393,256,256,True,file_exists_fast
3B,398,256,256,True,file_exists_fast
3B,400,256,256,True,file_exists_fast
3B,402,256,256,True,file_exists_fast
3B,405,256,256,True,file_exists_fast
3B,420,256,256,True,file_exists_fast
3B,425,256,256,True,file_exists_fast
3B,431,256,256,True,file_exists_fast
3B,435,256,256,True,file_exists_fast
3B,438,256,256,True,file_exists_fast
3B,446,256,256,True,file_exists_fast
3B,455,256,256,True,file_exists_fast
3B,466,256,256,True,file_exists_fast
3B,484,256,256,True,file_exists_fast
3B,486,256,256,True,file_exists_fast
3B,488,256,256,True,file_exists_fast
3B,489,256,256,True,file_exists_fast
3B,491,256,256,True,file_exists_fast
70B,12,256,256,True,file_exists_fast
70B,16,256,256,True,file_exists_fast
70B,20,256,256,True,file_exists_fast
70B,25,256,256,True,file_exists_fast
70B,31,256,256,True,file_exists_fast
70B,32,256,256,True,file_exists_fast
70B,36,256,256,True,file_exists_fast
70B,37,256,256,True,file_exists_fast
70B,41,256,256,True,file_exists_fast
70B,44,256,256,True,file_exists_fast
70B,46,256,256,True,file_exists_fast
70B,58,256,256,True,file_exists_fast
70B,65,256,256,True,file_exists_fast
70B,66,256,256,True,file_exists_fast
70B,68,256,256,True,file_exists_fast
70B,80,256,256,True,file_exists_fast
70B,90,256,256,True,file_exists_fast
70B,92,256,256,True,file_exists_fast
70B,98,256,256,True,file_exists_fast
70B,100,256,256,True,file_exists_fast
70B,110,256,256,True,file_exists_fast
70B,112,256,256,True,file_exists_fast
70B,119,256,256,True,file_exists_fast
70B,128,256,256,True,file_exists_fast
70B,129,256,256,True,file_exists_fast
70B,130,256,256,True,file_exists_fast
70B,131,256,256,True,file_exists_fast
70B,135,256,256,True,file_exists_fast
70B,137,256,256,True,file_exists_fast
70B,142,256,256,True,file_exists_fast
70B,153,256,256,True,file_exists_fast
70B,161,256,256,True,file_exists_fast
70B,164,256,256,True,file_exists_fast
70B,168,256,256,True,file_exists_fast
70B,173,256,256,True,file_exists_fast
70B,187,256,256,True,file_exists_fast
70B,188,256,256,True,file_exists_fast
70B,192,256,256,True,file_exists_fast
70B,198,256,256,True,file_exists_fast
70B,200,256,256,True,file_exists_fast
70B,203,256,256,True,file_exists_fast
70B,204,256,256,True,file_exists_fast
70B,205,256,256,True,file_exists_fast
70B,210,256,256,True,file_exists_fast
70B,213,256,256,True,file_exists_fast
70B,228,256,256,True,file_exists_fast
70B,232,256,256,True,file_exists_fast
70B,233,256,256,True,file_exists_fast
70B,235,256,256,True,file_exists_fast
70B,239,256,256,True,file_exists_fast
70B,241,256,256,True,file_exists_fast
70B,243,256,256,True,file_exists_fast
70B,248,256,256,True,file_exists_fast
70B,263,256,256,True,file_exists_fast
70B,264,256,256,True,file_exists_fast
70B,267,256,256,True,file_exists_fast
70B,274,256,256,True,file_exists_fast
70B,284,256,256,True,file_exists_fast
70B,292,256,256,True,file_exists_fast
70B,295,256,256,True,file_exists_fast
70B,296,256,256,True,file_exists_fast
70B,301,256,256,True,file_exists_fast
70B,302,256,256,True,file_exists_fast
70B,305,256,256,True,file_exists_fast
70B,308,256,256,True,file_exists_fast
70B,314,256,256,True,file_exists_fast
70B,318,256,256,True,file_exists_fast
70B,322,256,256,True,file_exists_fast
70B,326,256,256,True,file_exists_fast
70B,327,256,256,True,file_exists_fast
70B,332,256,256,True,file_exists_fast
70B,346,256,256,True,file_exists_fast
70B,349,256,256,True,file_exists_fast
70B,365,256,256,True,file_exists_fast
70B,369,256,256,True,file_exists_fast
70B,373,256,256,True,file_exists_fast
70B,377,256,256,True,file_exists_fast
70B,378,256,256,True,file_exists_fast
70B,379,256,256,True,file_exists_fast
70B,385,256,256,True,file_exists_fast
70B,390,256,256,True,file_exists_fast
70B,391,256,256,True,file_exists_fast
70B,393,256,256,True,file_exists_fast
70B,398,256,256,True,file_exists_fast
70B,400,256,256,True,file_exists_fast
70B,402,256,256,True,file_exists_fast
70B,405,256,256,True,file_exists_fast
70B,420,256,256,True,file_exists_fast
70B,425,256,256,True,file_exists_fast
70B,431,256,256,True,file_exists_fast
70B,435,256,256,True,file_exists_fast
70B,438,256,256,True,file_exists_fast
70B,446,256,256,True,file_exists_fast
70B,455,256,256,True,file_exists_fast
70B,466,256,256,True,file_exists_fast
70B,484,256,256,True,file_exists_fast
70B,486,256,256,True,file_exists_fast
70B,488,256,256,True,file_exists_fast
70B,489,256,256,True,file_exists_fast
70B,491,256,256,True,file_exists_fast
Super49B,12,256,256,True,file_exists_fast
Super49B,16,256,256,True,file_exists_fast
Super49B,20,256,256,True,file_exists_fast
Super49B,25,256,256,True,file_exists_fast
Super49B,31,256,256,True,file_exists_fast
Super49B,32,256,256,True,file_exists_fast
Super49B,36,256,256,True,file_exists_fast
Super49B,37,256,256,True,file_exists_fast
Super49B,41,256,256,True,file_exists_fast
Super49B,44,256,256,True,file_exists_fast
Super49B,46,256,256,True,file_exists_fast
Super49B,58,256,256,True,file_exists_fast
Super49B,65,256,256,True,file_exists_fast
Super49B,66,256,256,True,file_exists_fast
Super49B,68,256,256,True,file_exists_fast
Super49B,80,256,256,True,file_exists_fast
Super49B,90,256,256,True,file_exists_fast
Super49B,92,256,256,True,file_exists_fast
Super49B,98,256,256,True,file_exists_fast
Super49B,100,256,256,True,file_exists_fast
Super49B,110,256,256,True,file_exists_fast
Super49B,112,256,256,True,file_exists_fast
Super49B,119,256,256,True,file_exists_fast
Super49B,128,256,256,True,file_exists_fast
Super49B,129,256,256,True,file_exists_fast
Super49B,130,256,256,True,file_exists_fast
Super49B,131,256,256,True,file_exists_fast
Super49B,135,256,256,True,file_exists_fast
Super49B,137,256,256,True,file_exists_fast
Super49B,142,256,256,True,file_exists_fast
Super49B,153,256,256,True,file_exists_fast
Super49B,161,256,256,True,file_exists_fast
Super49B,164,256,256,True,file_exists_fast
Super49B,168,256,256,True,file_exists_fast
Super49B,173,256,256,True,file_exists_fast
Super49B,187,256,256,True,file_exists_fast
Super49B,188,256,256,True,file_exists_fast
Super49B,192,256,256,True,file_exists_fast
Super49B,198,256,256,True,file_exists_fast
Super49B,200,256,256,True,file_exists_fast
Super49B,203,256,256,True,file_exists_fast
Super49B,204,256,256,True,file_exists_fast
Super49B,205,256,256,True,file_exists_fast
Super49B,210,256,256,True,file_exists_fast
Super49B,213,256,256,True,file_exists_fast
Super49B,228,256,256,True,file_exists_fast
Super49B,232,256,256,True,file_exists_fast
Super49B,233,256,256,True,file_exists_fast
Super49B,235,256,256,True,file_exists_fast
Super49B,239,256,256,True,file_exists_fast
Super49B,241,256,256,True,file_exists_fast
Super49B,243,256,256,True,file_exists_fast
Super49B,248,256,256,True,file_exists_fast
Super49B,263,256,256,True,file_exists_fast
Super49B,264,256,256,True,file_exists_fast
Super49B,267,256,256,True,file_exists_fast
Super49B,274,256,256,True,file_exists_fast
Super49B,284,256,256,True,file_exists_fast
Super49B,292,256,256,True,file_exists_fast
Super49B,295,256,256,True,file_exists_fast
Super49B,296,256,256,True,file_exists_fast
Super49B,301,256,256,True,file_exists_fast
Super49B,302,256,256,True,file_exists_fast
Super49B,305,256,256,True,file_exists_fast
Super49B,308,256,256,True,file_exists_fast
Super49B,314,256,256,True,file_exists_fast
Super49B,318,256,256,True,file_exists_fast
Super49B,322,256,256,True,file_exists_fast
Super49B,326,256,256,True,file_exists_fast
Super49B,327,256,256,True,file_exists_fast
Super49B,332,256,256,True,file_exists_fast
Super49B,346,256,256,True,file_exists_fast
Super49B,349,256,256,True,file_exists_fast
Super49B,365,256,256,True,file_exists_fast
Super49B,369,256,256,True,file_exists_fast
Super49B,373,256,256,True,file_exists_fast
Super49B,377,256,256,True,file_exists_fast
Super49B,378,256,256,True,file_exists_fast
Super49B,379,256,256,True,file_exists_fast
Super49B,385,256,256,True,file_exists_fast
Super49B,390,256,256,True,file_exists_fast
Super49B,391,256,256,True,file_exists_fast
Super49B,393,256,256,True,file_exists_fast
Super49B,398,256,256,True,file_exists_fast
Super49B,400,256,256,True,file_exists_fast
Super49B,402,256,256,True,file_exists_fast
Super49B,405,256,256,True,file_exists_fast
Super49B,420,256,256,True,file_exists_fast
Super49B,425,256,256,True,file_exists_fast
Super49B,431,256,256,True,file_exists_fast
Super49B,435,256,256,True,file_exists_fast
Super49B,438,256,256,True,file_exists_fast
Super49B,446,256,256,True,file_exists_fast
Super49B,455,256,256,True,file_exists_fast
Super49B,466,256,256,True,file_exists_fast
Super49B,484,256,256,True,file_exists_fast
Super49B,486,256,256,True,file_exists_fast
Super49B,488,256,256,True,file_exists_fast
Super49B,489,256,256,True,file_exists_fast
Super49B,491,256,256,True,file_exists_fast
Super120B,12,256,256,True,file_exists_fast
Super120B,16,256,256,True,file_exists_fast
Super120B,20,256,256,True,file_exists_fast
Super120B,25,256,256,True,file_exists_fast
Super120B,31,256,256,True,file_exists_fast
Super120B,32,256,256,True,file_exists_fast
Super120B,36,256,256,True,file_exists_fast
Super120B,37,256,256,True,file_exists_fast
Super120B,41,256,256,True,file_exists_fast
Super120B,44,256,256,True,file_exists_fast
Super120B,46,256,256,True,file_exists_fast
Super120B,58,256,256,True,file_exists_fast
Super120B,65,256,256,True,file_exists_fast
Super120B,66,256,256,True,file_exists_fast
Super120B,68,256,256,True,file_exists_fast
Super120B,80,256,256,True,file_exists_fast
Super120B,90,256,256,True,file_exists_fast
Super120B,92,256,256,True,file_exists_fast
Super120B,98,256,256,True,file_exists_fast
Super120B,100,256,256,True,file_exists_fast
Super120B,110,256,256,True,file_exists_fast
