K,N,model,heldout_MAE_mean,heldout_MAE_std,heldout_MAE_ci_low,heldout_MAE_ci_high,num_problems_used,num_splits
8,2,3B,0.09343699698189135,0.00314369219856989,0.0920592131284491,0.09481478083533361,497,20
8,8,3B,0.13834595726433385,0.005654165834349616,0.135867909828648,0.1408240047000197,497,20
8,16,3B,0.15871257212890783,0.006945474719465697,0.15566858362159644,0.1617565606362192,486,20
8,32,3B,0.16763805092097608,0.007608132745187225,0.16430363972896025,0.1709724621129919,486,20
16,2,3B,0.07319988988554527,0.0035402617884231903,0.07164830174620165,0.07475147802488888,486,20
16,8,3B,0.11031102630975205,0.005350773877938584,0.10796594626158508,0.11265610635791902,486,20
16,16,3B,0.1359402176805846,0.007107708974529682,0.1328251268760432,0.13905530848512598,486,20
16,32,3B,0.1546281469148008,0.008939027844746471,0.15071044522773197,0.15854584860186965,486,20
24,2,3B,0.0686199702789209,0.002687662963650914,0.06744205004980383,0.06979789050803797,486,20
24,8,3B,0.10363442517862412,0.005045684066938879,0.10142305663555819,0.10584579372169005,486,20
24,16,3B,0.12638942979321593,0.005855828880431155,0.12382299963073083,0.12895585995570105,486,20
32,2,3B,0.07177312403549382,0.0030957351857808435,0.07041635826960801,0.07312988980137963,486,20
32,8,3B,0.11011887050337481,0.005104633091832114,0.10788166641104263,0.11235607459570698,486,20
32,16,3B,0.13576558508692493,0.00675419713152305,0.13280542767869907,0.1387257424951508,486,20
8,2,70B,0.047400624999999995,0.0021442816971448796,0.04646085211100598,0.04834039788899401,500,20
8,8,70B,0.07185114671985715,0.004297291503294591,0.06996777567943935,0.07373451776027495,500,20
8,16,70B,0.0863054714450727,0.00595550101437471,0.08369535804386338,0.08891558484628201,500,20
8,32,70B,0.09376796605316715,0.0062930994594023616,0.09100989360981054,0.09652603849652375,500,20
16,2,70B,0.03757197265625,0.0018239497737635327,0.036772591422640596,0.038371353889859405,500,20
16,8,70B,0.058808952364548805,0.0033123013231156706,0.057357272304140776,0.060260632424956835,500,20
16,16,70B,0.07408895388518474,0.004699363659885234,0.07202936695266361,0.07614854081770588,500,20
16,32,70B,0.08617727786508003,0.005304987285498108,0.08385226467581144,0.08850229105434862,500,20
24,2,70B,0.035278125,0.0019029531482658202,0.034444119010886155,0.036112130989113846,500,20
24,8,70B,0.055933362255979835,0.0030735361372927084,0.054586325652059266,0.057280398859900404,500,20
24,16,70B,0.07072997748014671,0.004043133334407035,0.06895799616849213,0.0725019587918013,500,20
32,2,70B,0.037263476562499995,0.0022740321115349814,0.03626683804715571,0.03826011507784428,500,20
32,8,70B,0.058551669490211664,0.00342400456938547,0.05705103332361817,0.06005230565680516,500,20
32,16,70B,0.0741834692067854,0.004537001099283496,0.07219504080387552,0.07617189760969527,500,20
8,2,8B,0.09366996492985973,0.0038168543842617723,0.09199715474062795,0.0953427751190915,499,20
8,8,8B,0.1405408029321807,0.005406727661064661,0.13817120005733075,0.14291040580703063,499,20
8,16,8B,0.168189728487755,0.006940551544039711,0.1651478976572075,0.17123155931830253,499,20
8,32,8B,0.18252631589777701,0.008502347620384841,0.17879999775726427,0.18625263403828976,499,20
16,2,8B,0.07462493346067134,0.003211411491931657,0.07321747031833344,0.07603239660300924,499,20
16,8,8B,0.1137461631190491,0.0052939892866004775,0.11142597001531822,0.11606635622277998,499,20
16,16,8B,0.14198803296838713,0.006028389524915037,0.13934597476896582,0.14463009116780845,499,20
16,32,8B,0.16719848678997504,0.007623909888094268,0.16385716096020916,0.1705398126197409,499,20
24,2,8B,0.06978749164996659,0.0029954006990032087,0.06847469941173356,0.07110028388819961,499,20
24,8,8B,0.1082877144375695,0.0059859464310089705,0.10566425774420547,0.11091117113093353,499,20
24,16,8B,0.13656317679074026,0.0075654363897742745,0.13324747810153104,0.13987887547994948,499,20
32,2,8B,0.07359474808992986,0.002461848248332712,0.07251579552335195,0.07467370065650776,499,20
32,8,8B,0.11404895032452533,0.004021837618010366,0.11228630227209128,0.11581159837695938,499,20
32,16,8B,0.14187969884756876,0.006459836343380546,0.13904855074285355,0.14471084695228398,499,20
8,2,Dracarys70B,0.0807124248496994,0.002102473720048904,0.0797909751145479,0.0816338745848509,499,20
8,8,Dracarys70B,0.1278544659177675,0.0038866251592316863,0.12615107733818332,0.1295578544973517,499,20
8,16,Dracarys70B,0.1566503605135014,0.0052197768391782,0.15436269244890424,0.15893802857809855,499,20
8,32,Dracarys70B,0.17405022997217653,0.0073013903721560166,0.1708502545525055,0.17725020539184758,499,20
16,2,Dracarys70B,0.0643981322019038,0.0018242572349147289,0.06359861621750362,0.06519764818630397,499,20
16,8,Dracarys70B,0.1045486436863396,0.003619259557361976,0.10296243324823807,0.10613485412444114,499,20
16,16,Dracarys70B,0.13466362046208324,0.00549586375849426,0.1322549519701054,0.1370722889540611,499,20
16,32,Dracarys70B,0.16174144086205292,0.0068636327258814415,0.15873332118991096,0.16474956053419487,499,20
24,2,Dracarys70B,0.06030672456023156,0.002914504360181046,0.059029386705695026,0.0615840624147681,499,20
24,8,Dracarys70B,0.098199679108518,0.005499886483863183,0.09578924757941372,0.10061011063762228,499,20
24,16,Dracarys70B,0.1271361407154243,0.006873210324151643,0.12412382347576685,0.1301484579550818,499,20
32,2,Dracarys70B,0.06284942932740482,0.0032781987969957025,0.0614126953580521,0.06428616329675754,499,20
32,8,Dracarys70B,0.10291061841148548,0.0044513116742352565,0.10095974505493031,0.10486149176804065,499,20
32,16,Dracarys70B,0.13280072527455664,0.005104680608476579,0.13056350035713682,0.13503795019197645,499,20
8,2,GLM5,0.045505500000000004,0.0023638102186935386,0.04446951449435815,0.046541485505641855,500,20
8,8,GLM5,0.06303974264313013,0.004234972354743698,0.06118368417379443,0.06489580111246582,500,20
8,16,GLM5,0.0726321743597591,0.006072059302241483,0.06997097703656761,0.0752933716829506,500,20
8,32,GLM5,0.07590481144954678,0.007804385794782724,0.07248438856623227,0.07932523433286129,500,20
16,2,GLM5,0.03698583984375,0.0018383451627606252,0.03618014955274203,0.03779153013475797,500,20
16,8,GLM5,0.05311747199432419,0.002399650133845754,0.05206577895331106,0.05416916503533732,500,20
16,16,GLM5,0.06359387219943749,0.003970145757504035,0.061853879103742654,0.06533386529513233,500,20
16,32,GLM5,0.07124173462450215,0.005507800513400048,0.06882783461902588,0.07365563462997841,500,20
24,2,GLM5,0.03476111111111111,0.001513876985038237,0.034097625268879994,0.03542459695334223,500,20
24,8,GLM5,0.04837751040861494,0.0020747291785012693,0.04746822025492084,0.04928680056230904,500,20
24,16,GLM5,0.058389693113226934,0.0031252304291571713,0.05702000048697747,0.0597593857394764,500,20
32,2,GLM5,0.036056640625,0.0019785182126580733,0.03518951678622793,0.03692376446377207,500,20
32,8,GLM5,0.05172308473334725,0.0031955673716636025,0.050322565582882096,0.0531236038838124,500,20
32,16,GLM5,0.06278856611646429,0.003922861756410603,0.0610692961479453,0.06450783608498328,500,20
8,2,Gemma3n2B,0.05583274999999999,0.0027546926349699885,0.05462545272217345,0.05704004727782652,500,20
8,8,Gemma3n2B,0.0883471930878342,0.005026463519326805,0.08614424832116924,0.09055013785449917,500,20
8,16,Gemma3n2B,0.10571368881146441,0.006801214244814757,0.10273292524479906,0.10869445237812976,500,20
8,32,Gemma3n2B,0.11397542466242447,0.008841641021153918,0.1101004046326581,0.11785044469219083,500,20
16,2,Gemma3n2B,0.044738671875000004,0.0017139554229001807,0.0439874977911422,0.04548984595885781,500,20
16,8,Gemma3n2B,0.07241457782474173,0.0038305934849472423,0.0707357462091458,0.07409340944033765,500,20
16,16,Gemma3n2B,0.09170414096791625,0.005008049737460007,0.08950926639697478,0.09389901553885772,500,20
16,32,Gemma3n2B,0.10870560689080744,0.0059824107729764915,0.10608369976789775,0.11132751401371713,500,20
24,2,Gemma3n2B,0.04298680555555555,0.0016895809973351977,0.042246314034703004,0.04372729707640809,500,20
24,8,Gemma3n2B,0.0687140659437167,0.0027556346822259184,0.06750635579547652,0.06992177609195689,500,20
24,16,Gemma3n2B,0.08679441499309548,0.004170241490351258,0.08496672607591245,0.08862210391027851,500,20
32,2,Gemma3n2B,0.044868554687500006,0.0022593047815982815,0.04387837070908537,0.045858738665914646,500,20
32,8,Gemma3n2B,0.07276034357702865,0.004662507682772269,0.07071690948866706,0.07480377766539024,500,20
32,16,Gemma3n2B,0.09128482725638146,0.006158359851514247,0.08858580704983475,0.09398384746292816,500,20
8,2,Gemma3n4B,0.042153249999999996,0.001910684053586981,0.04131585579224031,0.042990644207759686,500,20
8,8,Gemma3n4B,0.06412286932741959,0.002492569818340052,0.06303045243913495,0.06521528621570423,500,20
8,16,Gemma3n4B,0.07571668427915343,0.0034740051956517397,0.07419413437190714,0.07723923418639972,500,20
8,32,Gemma3n4B,0.08085694562171475,0.0048238332160870845,0.07874280750098948,0.08297108374244001,500,20
16,2,Gemma3n4B,0.03371025390625,0.0016414829116319066,0.03299084230088461,0.034429665511615394,500,20
16,8,Gemma3n4B,0.053553105619757214,0.0028592647228101852,0.052299977603726566,0.05480623363578786,500,20
16,16,Gemma3n4B,0.06684746227522151,0.004283574459147733,0.06497010299446361,0.0687248215559794,500,20
16,32,Gemma3n4B,0.07674112114274825,0.006317995711618923,0.07397213743577277,0.07951010484972373,500,20
24,2,Gemma3n4B,0.03185659722222222,0.0016602677401838504,0.031128952802753615,0.032584241641690825,500,20
24,8,Gemma3n4B,0.051338260538235356,0.003065386975148295,0.04999479546209564,0.05268172561437507,500,20
24,16,Gemma3n4B,0.06400732600522871,0.004395637584600397,0.062080852894279295,0.06593379911617812,500,20
32,2,Gemma3n4B,0.03406640625,0.0014909679804094,0.03341296072173169,0.034719851778268314,500,20
32,8,Gemma3n4B,0.05345645583342866,0.0019425402061936084,0.05260510005121389,0.05430781161564343,500,20
32,16,Gemma3n4B,0.06631496143368006,0.003157897479131647,0.06493095184153459,0.06769897102582552,500,20
8,2,KimiK2,0.037607125,0.00293823090291008,0.036319388529630486,0.03889486147036951,500,20
8,8,KimiK2,0.05499499240745639,0.004867074631451759,0.052861902900868174,0.0571280819140446,500,20
8,16,KimiK2,0.06707175809759318,0.005690957225603565,0.06457758612374852,0.06956593007143784,500,20
8,32,KimiK2,0.07360170073355489,0.006593502389147931,0.07071197090137425,0.07649143056573553,500,20
16,2,KimiK2,0.029560351562499997,0.001969650880828733,0.028697114003250822,0.03042358912174917,500,20
16,8,KimiK2,0.04378691681563396,0.0022403326490638416,0.04280504774091225,0.04476878589035567,500,20
16,16,KimiK2,0.05644489407703042,0.0040176254631575075,0.05468409208285458,0.05820569607120626,500,20
16,32,KimiK2,0.06756284348048017,0.006016451210179622,0.06492601747818276,0.07019966948277757,500,20
24,2,KimiK2,0.02856770833333333,0.001623230710406149,0.02785629610785318,0.02927912055881348,500,20
24,8,KimiK2,0.042197592219599976,0.002635278381697819,0.041042630545782034,0.04335255389341792,500,20
24,16,KimiK2,0.05358111171258846,0.0035063311510459922,0.05204439433073713,0.05511782909443979,500,20
32,2,KimiK2,0.030330664062499995,0.0018767036167270776,0.02950816243781819,0.0311531656871818,500,20
32,8,KimiK2,0.04519631181463428,0.0026604017516695874,0.04403033933845251,0.04636228429081605,500,20
32,16,KimiK2,0.05751038925038863,0.0035287933349048084,0.055963827382411145,0.05905695111836611,500,20
8,2,Maverick17B,0.026075499999999995,0.0020404977301732314,0.025181212440010127,0.026969787559989862,500,20
8,8,Maverick17B,0.03827967940173026,0.003079397761502863,0.03693007382773197,0.03962928497572855,500,20
8,16,Maverick17B,0.04406317192737988,0.003950483600778328,0.04233179615181354,0.04579454770294622,500,20
8,32,Maverick17B,0.04528794319028211,0.0049793226614425505,0.04310565881551553,0.047470227565048685,500,20
16,2,Maverick17B,0.020120996093750003,0.0017890630021968024,0.01933690466191739,0.020905087525582615,500,20
16,8,Maverick17B,0.03116633300785916,0.002323373846834463,0.030148069523560417,0.0321845964921579,500,20
16,16,Maverick17B,0.0371281798785996,0.0031705818296337103,0.03573861112473942,0.03851774863245978,500,20
16,32,Maverick17B,0.04082945747948515,0.004228563281294764,0.03897620791043476,0.042682707048535544,500,20
24,2,Maverick17B,0.019071875,0.0013765373202755664,0.018468580919746493,0.019675169080253505,500,20
24,8,Maverick17B,0.029166665503434015,0.001870938619793434,0.028346690500058815,0.029986640506809215,500,20
24,16,Maverick17B,0.03442085022683515,0.0027011121975861327,0.03323703561105849,0.035604664842611815,500,20
32,2,Maverick17B,0.019969628906250002,0.001726823246802,0.019212815249914673,0.02072644256258533,500,20
32,8,Maverick17B,0.03076094957521955,0.002568652476145865,0.029635187991961427,0.03188671115847767,500,20
32,16,Maverick17B,0.03638733458980074,0.0031513276094189972,0.03500620437001032,0.03776846480959117,500,20
8,2,MiniMax,0.0489145,0.002223823180802306,0.047939866518766104,0.049889133481233895,500,20
8,8,MiniMax,0.07384743980619847,0.0032309401823291863,0.07243141783792945,0.0752634617744675,500,20
8,16,MiniMax,0.08740172345687397,0.004929067957990995,0.08524146417699632,0.08956198273675162,500,20
8,32,MiniMax,0.0946496402855116,0.006993867689682672,0.0915844426238767,0.09771483794714649,500,20
16,2,MiniMax,0.03924013671875,0.0026057231443256702,0.03809812819882369,0.04038214523867631,500,20
16,8,MiniMax,0.060987189708195985,0.0035126808109081425,0.059447689465211846,0.06252668995118013,500,20
16,16,MiniMax,0.07696241397931905,0.004008286952578826,0.07520570476785787,0.07871912319078023,500,20
16,32,MiniMax,0.0899099904308431,0.005574968415363737,0.08746665279440625,0.09235332806727996,500,20
24,2,MiniMax,0.036354861111111116,0.0022467673152934244,0.03537017191957344,0.037339550302648794,500,20
24,8,MiniMax,0.057174930486310595,0.003605520565979109,0.055594741426669245,0.058755119545951945,500,20
24,16,MiniMax,0.07165766015120335,0.005421683521071552,0.0692815025817045,0.07403381772070221,500,20
32,2,MiniMax,0.03842978515625,0.0019221679542573387,0.03758735790711134,0.03927221240538866,500,20
32,8,MiniMax,0.06024085211875563,0.004222358445123799,0.05839032193905687,0.06209138229845439,500,20
32,16,MiniMax,0.07537007344471822,0.005867164958981955,0.07279867502675448,0.07794147186268195,500,20
8,2,Ministral14B,0.03581725,0.0019470175235066869,0.03496393194695493,0.036670568053045076,500,20
8,8,Ministral14B,0.04985396989285239,0.0034375126437931544,0.04834741355162523,0.051360526234079544,500,20
8,16,Ministral14B,0.05889643134973501,0.004572177125488625,0.05689258637361363,0.060900276325856394,500,20
8,32,Ministral14B,0.06337394707051913,0.005589097754671309,0.06092441697810118,0.06582347716293709,500,20
16,2,Ministral14B,0.02867734375,0.002111482941019872,0.027751945549667485,0.029602741950332516,500,20
16,8,Ministral14B,0.04119699882681507,0.0026846790328177153,0.04002038636304591,0.042373611290584236,500,20
16,16,Ministral14B,0.050789912518147975,0.0033436053419906107,0.049324512866561976,0.052255312169733975,500,20
16,32,Ministral14B,0.05879951601865456,0.00380303384192315,0.05713276294916518,0.06046626908814394,500,20
24,2,Ministral14B,0.026476736111111114,0.001703025789430554,0.02573035215032113,0.0272231200719011,500,20
24,8,Ministral14B,0.03959595204113352,0.0025650104071457654,0.03847178666499254,0.04072011741727449,500,20
24,16,Ministral14B,0.04933743978123592,0.0033436884843469797,0.047872003690905635,0.050802875871566205,500,20
32,2,Ministral14B,0.028486621093749998,0.0016395099294280997,0.02776807418596052,0.029205168001539474,500,20
32,8,Ministral14B,0.04253133057129207,0.002334853170339142,0.041508036051645665,0.04355462509093847,500,20
32,16,Ministral14B,0.0524124913819211,0.003147515278214065,0.05103303198994916,0.05379195077389304,500,20
8,2,MistralLarge675B,0.029828874999999998,0.001999991361001078,0.028952340139028296,0.0307054098609717,500,20
8,8,MistralLarge675B,0.03985727703115878,0.00309458227567273,0.03850101655040622,0.04121353751191134,500,20
