model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","oracle_full_distribution_diagnostic",8,2,0.01024514637822692,0.006000843300486114,0.08305725213034543,500
"3B","oracle_full_distribution_diagnostic",8,8,0.016205354329527345,0.00849668035544807,0.15332504164429256,500
"3B","oracle_full_distribution_diagnostic",8,16,0.020765017608528193,0.008233459111645679,0.2198568083278498,500
"3B","oracle_full_distribution_diagnostic",8,32,0.026972859857418287,0.005823655063099321,0.32224736160535916,500
"3B","oracle_full_distribution_diagnostic",16,2,0.011251102163771934,0.006144815240024625,0.07516328165353858,500
"3B","oracle_full_distribution_diagnostic",16,8,0.017946623722764038,0.009027823257769407,0.15073482696282975,500
"3B","oracle_full_distribution_diagnostic",16,16,0.023397999603672906,0.008409105910925134,0.2198750785997782,500
"3B","oracle_full_distribution_diagnostic",16,32,0.030841770312600478,0.007832324760391914,0.3199729585582093,500
"3B","oracle_full_distribution_diagnostic",32,2,0.012452561035156254,0.0071563720703125,0.08580749511718752,500
"3B","oracle_full_distribution_diagnostic",32,8,0.019328179483559835,0.009546887715434743,0.2082079669477666,500
"3B","oracle_full_distribution_diagnostic",32,16,0.025931800014690844,0.011653900569170705,0.28155346689871497,500
"3B","oracle_full_distribution_diagnostic",32,32,0.03412285062534984,0.00821681137941126,0.4461855213104352,500
"3B","oracle_full_distribution_diagnostic",48,2,0.013885142385223748,0.007872875825858501,0.10595571258921721,500
"3B","oracle_full_distribution_diagnostic",48,8,0.02271861493830776,0.011093629254856241,0.19210539087568512,500
"3B","oracle_full_distribution_diagnostic",48,16,0.030393200432916916,0.011835354504100754,0.27595510886106334,500
"3B","oracle_full_distribution_diagnostic",48,32,0.03924752679531215,0.008329049201649064,0.3847588370817141,500
"3B","oracle_full_distribution_diagnostic",64,2,0.01613372802734375,0.009124755859375,0.11834716796875,500
"3B","oracle_full_distribution_diagnostic",64,8,0.025557249252521615,0.012950516951762914,0.1966155463571877,500
"3B","oracle_full_distribution_diagnostic",64,16,0.03427708545553334,0.012249178812567676,0.2801647917405843,500
"3B","oracle_full_distribution_diagnostic",64,32,0.045208060080595254,0.008439494916978043,0.4381811942214693,500
"3B","oracle_full_distribution_diagnostic",96,2,0.0213408203125,0.011874728732638826,0.13846164279513917,500
"3B","oracle_full_distribution_diagnostic",96,8,0.03331278646370347,0.01772431597670632,0.24601775873929055,500
"3B","oracle_full_distribution_diagnostic",96,16,0.04423014348432356,0.01790051333229775,0.3670767040305162,500
"3B","oracle_full_distribution_diagnostic",96,32,0.057937828071124006,0.012870204100649436,0.5520597691579551,500
"3B","oracle_full_distribution_diagnostic",128,2,0.028092041015625,0.01894378662109375,0.20684814453125,500
"3B","oracle_full_distribution_diagnostic",128,8,0.042761167321776906,0.026293177903231754,0.3235492832408551,500
"3B","oracle_full_distribution_diagnostic",128,16,0.05501495997214061,0.02185887656714358,0.4584579631556398,500
"3B","oracle_full_distribution_diagnostic",128,32,0.07224350248139101,0.018043824760349342,0.6416310056743646,500
"3B","oracle_full_distribution_diagnostic",160,2,0.04361376953125,0.02880859375,0.2454986572265625,500
"3B","oracle_full_distribution_diagnostic",160,8,0.06463851897672772,0.03167667096971234,0.43588729317994224,500
"3B","oracle_full_distribution_diagnostic",160,16,0.08233529641792618,0.02773603975300813,0.5973793438437334,500
"3B","oracle_full_distribution_diagnostic",160,32,0.1038329910547543,0.01804383803869413,0.7357874119809534,500
"3B","pooled_pilot_tune",8,2,0.04469939508506616,0.025663397920604913,0.2864154064272202,500
"3B","pooled_pilot_tune",8,8,0.07008477259187137,0.03508157509594062,0.4763193892314851,500
"3B","pooled_pilot_tune",8,16,0.08927653792974861,0.03308265003948166,0.6488296142838834,500
"3B","pooled_pilot_tune",8,32,0.11019260114942678,0.02039020920469568,0.8199445015390153,500
"3B","pooled_pilot_tune",16,2,0.04249669995408631,0.0250821424471993,0.2564207415059694,500
"3B","pooled_pilot_tune",16,8,0.06514859239929824,0.03265777206151258,0.5153558879970151,500
"3B","pooled_pilot_tune",16,16,0.08555701921641569,0.03170550128275161,0.6960012093234846,500
"3B","pooled_pilot_tune",16,32,0.10846272792651183,0.02003407010726915,0.8446739030833038,500
"3B","pooled_pilot_tune",32,2,0.0387987890625,0.02236816406250003,0.24713867187500002,500
"3B","pooled_pilot_tune",32,8,0.059160844453977575,0.02959788612016881,0.5363962324913214,500
"3B","pooled_pilot_tune",32,16,0.07755036110843841,0.03601859140185895,0.6828242573916192,500
"3B","pooled_pilot_tune",32,32,0.10081401452017417,0.024430939002432192,0.8106556459920277,500
"3B","pooled_pilot_tune",48,2,0.03646178240740741,0.020025077160493343,0.23312307098765467,500
"3B","pooled_pilot_tune",48,8,0.05784749878581719,0.03020762241393768,0.4882852017545412,500
"3B","pooled_pilot_tune",48,16,0.0754339784899809,0.031194310179574053,0.6664469514051857,500
"3B","pooled_pilot_tune",48,32,0.09691731464451882,0.019459016560953495,0.8097224316763695,500
"3B","pooled_pilot_tune",64,2,0.034727701822916665,0.019894070095486244,0.234537760416667,500
"3B","pooled_pilot_tune",64,8,0.05352824047707128,0.027995190154799288,0.5066022529402141,500
"3B","pooled_pilot_tune",64,16,0.07153516536124317,0.030436713573673113,0.674745679927013,500
"3B","pooled_pilot_tune",64,32,0.0927002502169768,0.02341901765961006,0.8056510752891479,500
"3B","pooled_pilot_tune",96,2,0.03543573676215278,0.02016194661458335,0.24643283420138917,500
"3B","pooled_pilot_tune",96,8,0.05442159683324366,0.028737915039172224,0.40021673539029085,500
"3B","pooled_pilot_tune",96,16,0.07129851656863878,0.029948898016046777,0.554705777211595,500
