model,estimator,K,N,MAE,median_AE,max_AE,num_rows
"3B","hierarchical_shrinkage",8,1,0.31230026094383845,0.3512857617005135,0.49365781468837544,119
"3B","hierarchical_shrinkage",8,2,0.3200313908054718,0.36086360012449803,0.4817747070230578,119
"3B","hierarchical_shrinkage",8,4,0.3264624247198081,0.3774627724433737,0.4751195699251918,119
"3B","hierarchical_shrinkage",8,8,0.332771458517437,0.38056572462704896,0.4722437940625622,119
"3B","hierarchical_shrinkage",8,16,0.33955490052605103,0.38923444882889746,0.4719055917141859,119
"3B","hierarchical_shrinkage",8,32,0.3465942124424702,0.39360869175057944,0.47412545054475363,119
"3B","hierarchical_shrinkage",8,48,0.3503566980543624,0.4012695807415625,0.4767100341045212,119
"3B","hierarchical_shrinkage",8,64,0.35259424932424827,0.3990236100562702,0.4790375437284128,119
"3B","hierarchical_shrinkage",8,128,0.35618324930538686,0.3982051094900403,0.5007173143263213,119
"3B","hierarchical_shrinkage",8,256,0.3568619185512185,0.3924913237927504,0.5545190135928035,119
"3B","hierarchical_shrinkage",16,1,0.2808613817769755,0.30742679884453783,0.4438525800945379,119
"3B","hierarchical_shrinkage",16,2,0.2860379020622766,0.32313844616673576,0.43980310504176034,119
"3B","hierarchical_shrinkage",16,4,0.2908251881216198,0.331603024032671,0.43207834517688193,119
"3B","hierarchical_shrinkage",16,8,0.2965055026067508,0.33854544160444466,0.43839987467663555,119
"3B","hierarchical_shrinkage",16,16,0.3024033809665694,0.35081186320399066,0.4446925155423895,119
"3B","hierarchical_shrinkage",16,32,0.308933000421806,0.35433517846676144,0.47884873881636014,119
"3B","hierarchical_shrinkage",16,48,0.3121010790532154,0.3571477370420839,0.49317712036354466,119
"3B","hierarchical_shrinkage",16,64,0.31381876696263256,0.3568024474030684,0.4967954590140337,119
"3B","hierarchical_shrinkage",16,128,0.3162290279022328,0.35716552872238266,0.5403394635072274,119
"3B","hierarchical_shrinkage",16,256,0.31939016646870594,0.3529781745883616,0.5517783319196644,119
"3B","hierarchical_shrinkage",32,1,0.2357013232682779,0.26399329262955185,0.3691447282037815,119
"3B","hierarchical_shrinkage",32,2,0.24028912695148466,0.26892520533222447,0.36392075274170943,119
"3B","hierarchical_shrinkage",32,4,0.24452556760948316,0.28412871897361447,0.3577672997089536,119
"3B","hierarchical_shrinkage",32,8,0.2491157128207184,0.29009260289149996,0.38510207329997703,119
"3B","hierarchical_shrinkage",32,16,0.25380643439552225,0.2898139608111997,0.4468035739223031,119
"3B","hierarchical_shrinkage",32,32,0.2607133446799181,0.29406013614333804,0.5053382472904272,119
"3B","hierarchical_shrinkage",32,48,0.2635102663528325,0.2982248670500183,0.5477544740309959,119
"3B","hierarchical_shrinkage",32,64,0.2653190889078103,0.2965607737661555,0.5726410053451206,119
"3B","hierarchical_shrinkage",32,128,0.26713537342256366,0.29758104110193234,0.5968320886887072,119
"3B","hierarchical_shrinkage",32,256,0.273778301906829,0.29398625297224734,0.6018954880330067,119
"3B","hierarchical_shrinkage",64,1,0.17698428176417622,0.20470883665966388,0.2757599133403361,119
"3B","hierarchical_shrinkage",64,2,0.1803204063372157,0.20354681055085,0.2701664451791459,119
"3B","hierarchical_shrinkage",64,4,0.18499503169607653,0.20974312091165703,0.2666778080882005,119
"3B","hierarchical_shrinkage",64,8,0.19100775900909087,0.21665117489128755,0.29935021165879827,119
"3B","hierarchical_shrinkage",64,16,0.1977985959187757,0.22030217046351513,0.37432697021934325,119
"3B","hierarchical_shrinkage",64,32,0.20514132447026417,0.2267856390760682,0.4831961975428468,119
"3B","hierarchical_shrinkage",64,48,0.20990876007681744,0.22626467763213137,0.55063525416756,119
"3B","hierarchical_shrinkage",64,64,0.2138396227160472,0.22715443711548478,0.5918160734918376,119
"3B","hierarchical_shrinkage",64,128,0.22137133419363958,0.2249258864565687,0.6494535412608144,119
"3B","hierarchical_shrinkage",64,256,0.2273724593504361,0.22102708028336115,0.6783139348780891,119
"3B","hierarchical_shrinkage",128,1,0.11899200167199235,0.13663531818977592,0.1875834318102242,119
"3B","hierarchical_shrinkage",128,2,0.12155468682264277,0.14031295749653622,0.18983510362000022,119
"3B","hierarchical_shrinkage",128,4,0.12607632304035815,0.14465673448805438,0.20328969999975044,119
"3B","hierarchical_shrinkage",128,8,0.13165735016169097,0.14895911746564394,0.22249229320871133,119
"3B","hierarchical_shrinkage",128,16,0.1371724476430797,0.15395102038624864,0.26196665092743204,119
"3B","hierarchical_shrinkage",128,32,0.14610909338301753,0.1548986209810174,0.35259059076183485,119
"3B","hierarchical_shrinkage",128,48,0.15278753650547386,0.152277828716762,0.43589267048446134,119
"3B","hierarchical_shrinkage",128,64,0.15777171416324243,0.1536602606941512,0.5038532796842174,119
"3B","hierarchical_shrinkage",128,128,0.16842489014472373,0.15093610258216208,0.6604335598353767,119
"3B","hierarchical_shrinkage",128,256,0.177952438684823,0.14735737900963145,0.7518785049757143,119
"3B","hierarchical_shrinkage",256,1,0.07270658493176685,0.08061400341386554,0.12104615283613451,119
"3B","hierarchical_shrinkage",256,2,0.07364780785176941,0.08297340409094545,0.11700450913244931,119
"3B","hierarchical_shrinkage",256,4,0.07551085511948602,0.08546286095961908,0.13358508029399874,119
"3B","hierarchical_shrinkage",256,8,0.07934619044553252,0.09052417441441256,0.14571659970573736,119
"3B","hierarchical_shrinkage",256,16,0.08569249065837525,0.0938166279929675,0.1733951012729431,119
"3B","hierarchical_shrinkage",256,32,0.09719060988031474,0.09332176928050338,0.2776408941494241,119
"3B","hierarchical_shrinkage",256,48,0.10594199822251768,0.09274024232238977,0.33701029970853214,119
"3B","hierarchical_shrinkage",256,64,0.11308213835482224,0.09221655266110322,0.37040345082755216,119
"3B","hierarchical_shrinkage",256,128,0.13049300312524068,0.09056166154929722,0.45367320149166157,119
"3B","hierarchical_shrinkage",256,256,0.14910691219776778,0.08841442740577883,0.6895228593924416,119
"3B","hierarchical_shrinkage",512,1,0.04237255947109236,0.04690144286881421,0.07430081407563027,119
"3B","hierarchical_shrinkage",512,2,0.04296395993767562,0.049031723781126246,0.07235136041009005,119
"3B","hierarchical_shrinkage",512,4,0.04447547388412595,0.04990338599740185,0.0848830553913279,119
"3B","hierarchical_shrinkage",512,8,0.047345267257502106,0.05164777694299221,0.10021263070597702,119
"3B","hierarchical_shrinkage",512,16,0.05066820406428139,0.05212045173876778,0.13792093818779727,119
"3B","hierarchical_shrinkage",512,32,0.05646301221332555,0.051845427378057474,0.1864457527154224,119
"3B","hierarchical_shrinkage",512,48,0.062128423074123834,0.051522356845772124,0.23799496730716385,119
"3B","hierarchical_shrinkage",512,64,0.06754081409143782,0.051231418145057384,0.27203494540108386,119
"3B","hierarchical_shrinkage",512,128,0.08367103552295199,0.05640357695331111,0.3710197173718704,119
"3B","hierarchical_shrinkage",512,256,0.10032156220867264,0.05467788594375653,0.5577923581390367,119
"3B","hierarchical_shrinkage",1024,1,0.023319776791555738,0.024945065342313402,0.073170743481216,119
