problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,0.9166666666666666,0.6818181818181818,44,4,3,
2,0.9375,0.9481481481481482,45,3,3,
0,0.5833333333333334,0.6714285714285714,28,20,2,
1,0.020833333333333332,0.3829787234042553,1,47,5,
5,0.5625,0.6190476190476191,27,21,2,
4,0.2708333333333333,0.4901098901098901,13,35,2,
6,0.6666666666666666,0.46875,32,16,3,
8,0.22916666666666666,0.6855036855036855,11,37,3,
7,0.0,,0,48,4,
10,0.1875,0.33048433048433046,9,39,3,
9,0.020833333333333332,0.851063829787234,1,47,5,
12,0.2916666666666667,0.7563025210084033,14,34,5,
14,0.0625,0.762962962962963,3,45,1,
13,0.9791666666666666,1.0,47,1,2,
11,0.0,,0,48,5,
16,0.9583333333333334,0.7934782608695652,46,2,1,
15,0.08333333333333333,0.26704545454545453,4,44,5,
18,0.4791666666666667,0.5252173913043479,23,25,1,
17,0.22916666666666666,0.5724815724815725,11,37,4,
19,0.6666666666666666,0.263671875,32,16,3,
20,0.16666666666666666,0.346875,8,40,3,
21,0.0,,0,48,3,
22,0.2708333333333333,0.5340659340659341,13,35,5,
24,0.0625,0.34074074074074073,3,45,5,
23,0.0,,0,48,5,
26,0.0625,0.5111111111111111,3,45,5,
27,0.5416666666666666,0.41083916083916083,26,22,2,
28,0.7708333333333334,0.601965601965602,37,11,2,
25,0.0,,0,48,5,
29,0.375,0.6203703703703703,18,30,2,
30,0.5833333333333334,0.48928571428571427,28,20,3,
31,0.0,,0,48,4,
32,0.1875,0.6695156695156695,9,39,4,
33,0.0625,0.5925925925925926,3,45,4,
34,0.5208333333333334,0.5130434782608696,25,23,4,
35,0.7083333333333334,0.5021008403361344,34,14,2,
36,0.10416666666666667,0.30697674418604654,5,43,2,
37,0.08333333333333333,0.5397727272727273,4,44,3,
38,0.9791666666666666,0.723404255319149,47,1,1,
39,0.9166666666666666,0.6988636363636364,44,4,3,
40,0.9583333333333334,0.7391304347826086,46,2,2,
41,0.22916666666666666,0.5577395577395577,11,37,4,
44,0.8333333333333334,0.634375,40,8,5,
42,0.875,0.6587301587301587,42,6,2,
43,0.0,,0,48,5,
45,0.7291666666666666,0.3032967032967033,35,13,3,
47,0.8125,0.7264957264957265,39,9,5,
49,1.0,,48,0,4,
48,0.5,0.6458333333333334,24,24,2,
46,0.020833333333333332,0.1276595744680851,1,47,2,
52,1.0,,48,0,5,
53,0.8333333333333334,0.65,40,8,2,
50,0.020833333333333332,0.8936170212765957,1,47,5,
51,0.5416666666666666,0.5611888111888111,26,22,2,
54,0.7916666666666666,0.5052631578947369,38,10,2,
56,0.8333333333333334,0.51875,40,8,3,
55,0.375,0.4703703703703704,18,30,4,
57,0.8541666666666666,0.34494773519163763,41,7,2,
58,0.6666666666666666,0.8125,32,16,1,
59,0.8958333333333334,0.6976744186046512,43,5,2,
61,0.875,0.9642857142857143,42,6,3,
60,0.0,,0,48,5,
62,0.041666666666666664,0.4782608695652174,2,46,5,
64,0.020833333333333332,0.6595744680851063,1,47,4,
63,0.125,0.4444444444444444,6,42,5,
65,0.9166666666666666,0.7045454545454546,44,4,1,
66,0.10416666666666667,0.5441860465116279,5,43,3,
67,0.4166666666666667,0.6160714285714286,20,28,4,
68,0.125,0.2698412698412698,6,42,4,
70,0.6458333333333334,0.6907020872865275,31,17,2,
69,0.125,0.1746031746031746,6,42,4,
72,0.9375,0.7407407407407407,45,3,2,
71,0.0,,0,48,4,
73,0.8541666666666666,0.5609756097560976,41,7,4,
74,0.020833333333333332,0.851063829787234,1,47,2,
75,0.3125,0.7515151515151515,15,33,4,
77,1.0,,48,0,1,
76,0.8333333333333334,0.571875,40,8,2,
79,1.0,,48,0,1,
78,0.16666666666666666,0.434375,8,40,4,
81,0.375,0.5018518518518519,18,30,3,
82,0.14583333333333334,0.4912891986062718,7,41,5,
80,0.0,,0,48,5,
84,0.5416666666666666,0.5541958041958042,26,22,4,
83,0.10416666666666667,0.3488372093023256,5,43,2,
86,0.9791666666666666,0.7659574468085106,47,1,1,
85,0.14583333333333334,0.554006968641115,7,41,4,
87,1.0,,48,0,1,
89,0.0,,0,48,4,
90,0.20833333333333334,0.35,10,38,3,
91,0.041666666666666664,0.6847826086956522,2,46,3,
93,0.8541666666666666,0.6027874564459931,41,7,4,
92,0.4166666666666667,0.6678571428571428,20,28,4,
88,0.3125,0.4,15,33,5,
95,0.8333333333333334,0.540625,40,8,2,
96,0.0,,0,48,5,
94,0.020833333333333332,0.7021276595744681,1,47,5,
98,0.0,,0,48,2,
97,0.3958333333333333,0.5263157894736842,19,29,1,
100,0.0,,0,48,5,
99,0.041666666666666664,0.7282608695652174,2,46,3,
102,0.16666666666666666,0.48125,8,40,1,
105,0.2708333333333333,0.32967032967032966,13,35,3,
101,0.0,,0,48,5,
103,0.0,,0,48,5,
104,0.0,,0,48,4,
107,0.8541666666666666,0.43902439024390244,41,7,2,
106,0.0,,0,48,2,
109,0.0,,0,48,5,
111,0.9791666666666666,0.6382978723404256,47,1,3,
113,0.9375,0.9037037037037037,45,3,2,
110,0.0,,0,48,4,
112,0.7916666666666666,0.5236842105263158,38,10,4,
108,0.08333333333333333,0.3181818181818182,4,44,3,
115,0.5,0.4739583333333333,24,24,2,
114,0.7291666666666666,0.5494505494505495,35,13,3,
117,0.9791666666666666,0.9361702127659575,47,1,2,
116,0.9583333333333334,0.5869565217391305,46,2,2,
121,0.8333333333333334,0.434375,40,8,2,
119,0.3125,0.18181818181818182,15,33,3,
118,0.041666666666666664,0.8478260869565217,2,46,5,
122,1.0,,48,0,3,
124,0.8958333333333334,0.6697674418604651,43,5,4,
125,1.0,,48,0,4,
123,0.0625,0.05925925925925926,3,45,4,
120,0.22916666666666666,0.32678132678132676,11,37,2,
128,0.4375,0.49206349206349204,21,27,3,
127,0.0,,0,48,3,
126,0.020833333333333332,0.3191489361702128,1,47,4,
129,0.0,,0,48,5,
132,0.9166666666666666,0.5227272727272727,44,4,3,
130,0.1875,0.3475783475783476,9,39,4,
131,0.7916666666666666,0.5105263157894737,38,10,4,
133,1.0,,48,0,3,
135,0.6458333333333334,0.5047438330170778,31,17,5,
134,0.7291666666666666,0.6989010989010989,35,13,4,
137,0.4375,0.8465608465608465,21,27,4,
136,0.041666666666666664,0.41304347826086957,2,46,5,
138,0.08333333333333333,0.4659090909090909,4,44,4,
141,0.4375,0.2821869488536155,21,27,1,
140,0.4583333333333333,0.4353146853146853,22,26,4,
139,0.3958333333333333,0.49727767695099817,19,29,3,
142,0.3125,0.7515151515151515,15,33,5,
143,0.16666666666666666,0.53125,8,40,3,
144,1.0,,48,0,1,
146,0.8333333333333334,0.846875,40,8,3,
145,0.0,,0,48,5,
148,0.9791666666666666,0.9787234042553191,47,1,1,
149,0.3333333333333333,0.392578125,16,32,2,
147,0.041666666666666664,0.14130434782608695,2,46,5,
153,0.4583333333333333,0.722027972027972,22,26,4,
152,0.0,,0,48,5,
151,0.0,,0,48,5,
150,0.0,,0,48,5,
154,0.0,,0,48,5,
157,0.0,,0,48,2,
155,0.3125,0.31313131313131315,15,33,4,
158,0.8541666666666666,0.8048780487804879,41,7,4,
156,0.0,,0,48,3,
160,0.9166666666666666,0.7613636363636364,44,4,2,
162,0.8958333333333334,0.40930232558139534,43,5,5,
161,0.5,0.3003472222222222,24,24,2,
159,0.5208333333333334,0.4991304347826087,25,23,4,
163,0.16666666666666666,0.559375,8,40,5,
165,0.6041666666666666,0.5807622504537205,29,19,4,
164,0.0,,0,48,2,
166,0.0,,0,48,5,
169,0.7708333333333334,0.7985257985257985,37,11,2,
168,0.0,,0,48,5,
167,0.9166666666666666,0.8579545454545454,44,4,1,
171,0.9791666666666666,0.5319148936170213,47,1,1,
170,0.0,,0,48,5,
172,1.0,,48,0,1,
176,0.3125,0.4161616161616162,15,33,3,
174,0.9583333333333334,0.33695652173913043,46,2,3,
173,0.22916666666666666,0.22113022113022113,11,37,5,
175,0.20833333333333334,0.3131578947368421,10,38,2,
178,1.0,,48,0,2,
177,0.0,,0,48,3,
179,0.2916666666666667,0.569327731092437,14,34,4,
180,0.5833333333333334,0.7464285714285714,28,20,3,
181,0.7708333333333334,0.5135135135135135,37,11,3,
182,0.75,0.5787037037037037,36,12,2,
183,0.8541666666666666,0.49477351916376305,41,7,4,
185,1.0,,48,0,1,
184,0.0,,0,48,5,
187,0.14583333333333334,0.30662020905923343,7,41,1,
186,0.125,0.38492063492063494,6,42,4,
190,0.5,0.7048611111111112,24,24,5,
191,0.9791666666666666,0.7659574468085106,47,1,2,
188,0.10416666666666667,0.7581395348837209,5,43,5,
189,0.0,,0,48,5,
193,0.22916666666666666,0.6437346437346437,11,37,3,
192,0.22916666666666666,0.714987714987715,11,37,3,
194,0.020833333333333332,0.3191489361702128,1,47,5,
196,1.0,,48,0,1,
195,0.25,0.3587962962962963,12,36,4,
198,0.20833333333333334,0.6736842105263158,10,38,3,
199,0.9583333333333334,0.5434782608695652,46,2,2,
197,0.0625,0.4888888888888889,3,45,5,
200,0.5833333333333334,0.7517857142857143,28,20,4,
202,0.5,0.5173611111111112,24,24,5,
201,0.5625,0.4620811287477954,27,21,4,
203,0.3333333333333333,0.513671875,16,32,3,
204,0.0625,0.6074074074074074,3,45,5,
205,0.5208333333333334,0.7008695652173913,25,23,3,
207,0.8333333333333334,0.66875,40,8,2,
206,0.625,0.5944444444444444,30,18,2,
208,0.7291666666666666,0.36043956043956044,35,13,3,
211,0.9583333333333334,0.6521739130434783,46,2,2,
210,0.020833333333333332,0.7872340425531915,1,47,4,
209,0.14583333333333334,0.15331010452961671,7,41,2,
212,0.4166666666666667,0.4928571428571429,20,28,3,
214,0.20833333333333334,0.6473684210526316,10,38,5,
216,0.6666666666666666,0.802734375,32,16,4,
215,0.3333333333333333,0.634765625,16,32,4,
213,0.10416666666666667,0.13023255813953488,5,43,4,
218,0.9791666666666666,0.9574468085106383,47,1,2,
217,0.0,,0,48,4,
219,0.08333333333333333,0.5056818181818182,4,44,4,
220,0.8333333333333334,0.55625,40,8,5,
221,0.5625,0.6754850088183422,27,21,3,
222,0.0,,0,48,4,
223,0.25,0.2962962962962963,12,36,3,
226,0.3958333333333333,0.33575317604355714,19,29,3,
225,0.5416666666666666,0.5769230769230769,26,22,3,
229,0.8541666666666666,0.6689895470383276,41,7,4,
227,0.10416666666666667,0.413953488372093,5,43,3,
228,0.0,,0,48,4,
230,0.14583333333333334,0.24738675958188153,7,41,4,
231,0.6458333333333334,0.5616698292220114,31,17,4,
234,0.875,0.7936507936507936,42,6,3,
232,0.0,,0,48,5,
233,0.0625,0.5259259259259259,3,45,2,
235,0.0,,0,48,4,
236,0.0,,0,48,4,
237,0.8333333333333334,0.55,40,8,1,
238,0.2708333333333333,0.567032967032967,13,35,5,
240,0.0,,0,48,4,
239,0.020833333333333332,0.0425531914893617,1,47,5,
242,0.0,,0,48,5,
241,0.125,0.75,6,42,5,
243,0.8541666666666666,0.735191637630662,41,7,2,
244,0.3333333333333333,0.1953125,16,32,5,
245,0.0,,0,48,4,
246,0.5,0.6475694444444444,24,24,2,
247,0.6458333333333334,0.5464895635673624,31,17,3,
248,0.20833333333333334,0.6289473684210526,10,38,4,
249,0.041666666666666664,0.4673913043478261,2,46,4,
250,0.6458333333333334,0.40417457305502846,31,17,4,
251,0.0,,0,48,5,
253,0.7708333333333334,0.597051597051597,37,11,3,
252,0.3125,0.7333333333333333,15,33,5,
254,0.1875,0.2022792022792023,9,39,5,
255,0.16666666666666666,0.290625,8,40,2,
256,0.8333333333333334,0.65,40,8,3,
257,0.0,,0,48,4,
258,0.9583333333333334,0.8913043478260869,46,2,3,
259,1.0,,48,0,1,
261,0.10416666666666667,0.5627906976744186,5,43,3,
262,0.9791666666666666,0.9361702127659575,47,1,1,
260,0.041666666666666664,0.8369565217391305,2,46,3,
263,0.9791666666666666,0.9361702127659575,47,1,4,
265,0.9375,0.4444444444444444,45,3,2,
266,0.7083333333333334,0.8340336134453782,34,14,3,
267,0.0,,0,48,1,
264,0.020833333333333332,0.1702127659574468,1,47,5,
268,0.9375,0.4962962962962963,45,3,1,
269,0.4791666666666667,0.5130434782608696,23,25,3,
270,0.7291666666666666,0.4945054945054945,35,13,1,
271,0.25,0.38425925925925924,12,36,4,
272,0.125,0.42857142857142855,6,42,4,
273,0.7708333333333334,0.5454545454545454,37,11,4,
275,0.9166666666666666,0.7386363636363636,44,4,2,
274,0.0,,0,48,5,
277,0.22916666666666666,0.18673218673218672,11,37,4,
278,1.0,,48,0,3,
276,0.4375,0.4708994708994709,21,27,5,
279,0.16666666666666666,0.453125,8,40,5,
280,0.375,0.7462962962962963,18,30,4,
282,0.625,0.6462962962962963,30,18,4,
283,0.9375,0.3333333333333333,45,3,3,
281,0.0,,0,48,4,
284,0.0,,0,48,5,
287,0.0,,0,48,5,
285,0.0,,0,48,4,
286,0.0,,0,48,5,
289,0.875,0.30952380952380953,42,6,3,
288,0.125,0.7023809523809523,6,42,5,
291,0.3541666666666667,0.5123339658444023,17,31,4,
