problem_idx,p,kappa,n_correct,n_incorrect,level,type
3,1.0,,48,0,3,
2,1.0,,48,0,3,
0,1.0,,48,0,2,
1,1.0,,48,0,5,
5,1.0,,48,0,2,
4,1.0,,48,0,2,
7,0.0,,0,48,4,
8,1.0,,48,0,3,
6,1.0,,48,0,3,
10,1.0,,48,0,3,
12,1.0,,48,0,5,
13,1.0,,48,0,2,
9,0.0,,0,48,5,
11,0.0,,0,48,5,
14,1.0,,48,0,1,
15,0.9583333333333334,0.75,46,2,5,
16,1.0,,48,0,1,
20,1.0,,48,0,3,
19,0.875,0.9047619047619048,42,6,3,
17,0.3958333333333333,0.778584392014519,19,29,4,
18,0.0,,0,48,1,
21,0.6458333333333334,0.681214421252372,31,17,3,
22,0.9791666666666666,0.9787234042553191,47,1,5,
23,0.0,,0,48,5,
24,0.9791666666666666,0.9787234042553191,47,1,5,
27,1.0,,48,0,2,
25,0.0625,0.15555555555555556,3,45,5,
28,1.0,,48,0,2,
29,1.0,,48,0,2,
30,1.0,,48,0,3,
26,0.7083333333333334,0.9201680672268907,34,14,5,
31,0.0,,0,48,4,
32,1.0,,48,0,4,
33,1.0,,48,0,4,
35,0.9791666666666666,0.9574468085106383,47,1,2,
36,1.0,,48,0,2,
34,1.0,,48,0,4,
37,1.0,,48,0,3,
38,1.0,,48,0,1,
40,1.0,,48,0,2,
39,0.9791666666666666,0.8085106382978723,47,1,3,
42,1.0,,48,0,2,
41,1.0,,48,0,4,
45,1.0,,48,0,3,
44,1.0,,48,0,5,
43,0.0,,0,48,5,
48,1.0,,48,0,2,
46,0.7083333333333334,0.5756302521008403,34,14,2,
49,1.0,,48,0,4,
47,1.0,,48,0,5,
51,0.9166666666666666,0.8977272727272727,44,4,2,
52,1.0,,48,0,5,
53,1.0,,48,0,2,
50,0.9166666666666666,0.6761363636363636,44,4,5,
54,1.0,,48,0,2,
55,1.0,,48,0,4,
57,1.0,,48,0,2,
56,1.0,,48,0,3,
58,1.0,,48,0,1,
59,1.0,,48,0,2,
62,1.0,,48,0,5,
60,0.0,,0,48,5,
61,0.8958333333333334,0.6651162790697674,43,5,3,
63,1.0,,48,0,5,
66,0.041666666666666664,0.5217391304347826,2,46,3,
64,0.9583333333333334,0.717391304347826,46,2,4,
67,1.0,,48,0,4,
65,1.0,,48,0,1,
70,1.0,,48,0,2,
69,1.0,,48,0,4,
68,1.0,,48,0,4,
71,0.125,0.6428571428571429,6,42,4,
74,1.0,,48,0,2,
73,1.0,,48,0,4,
72,1.0,,48,0,2,
75,1.0,,48,0,4,
77,1.0,,48,0,1,
76,1.0,,48,0,2,
79,1.0,,48,0,1,
78,0.9375,0.8148148148148148,45,3,4,
81,1.0,,48,0,3,
80,0.041666666666666664,0.9130434782608695,2,46,5,
83,1.0,,48,0,2,
82,1.0,,48,0,5,
84,1.0,,48,0,4,
85,1.0,,48,0,4,
86,1.0,,48,0,1,
87,1.0,,48,0,1,
90,1.0,,48,0,3,
89,1.0,,48,0,4,
91,1.0,,48,0,3,
88,0.3958333333333333,0.7386569872958257,19,29,5,
92,1.0,,48,0,4,
93,1.0,,48,0,4,
94,0.0,,0,48,5,
95,1.0,,48,0,2,
97,0.1875,0.30484330484330485,9,39,1,
96,0.0,,0,48,5,
98,0.0,,0,48,2,
99,0.9375,0.2518518518518518,45,3,3,
102,1.0,,48,0,1,
100,0.0,,0,48,5,
105,1.0,,48,0,3,
101,0.10416666666666667,0.7813953488372093,5,43,5,
104,0.0,,0,48,4,
103,0.0,,0,48,5,
107,1.0,,48,0,2,
106,0.0,,0,48,2,
109,0.6666666666666666,0.91015625,32,16,5,
111,1.0,,48,0,3,
110,0.0,,0,48,4,
108,0.4166666666666667,0.7428571428571429,20,28,3,
113,1.0,,48,0,2,
112,1.0,,48,0,4,
114,1.0,,48,0,3,
117,1.0,,48,0,2,
116,1.0,,48,0,2,
115,1.0,,48,0,2,
118,0.9583333333333334,1.0,46,2,5,
121,1.0,,48,0,2,
119,0.020833333333333332,0.8723404255319149,1,47,3,
120,0.6666666666666666,0.828125,32,16,2,
122,1.0,,48,0,3,
125,1.0,,48,0,4,
124,1.0,,48,0,4,
123,0.041666666666666664,0.8043478260869565,2,46,4,
126,0.8541666666666666,0.7770034843205574,41,7,4,
127,0.0,,0,48,3,
128,0.8958333333333334,0.786046511627907,43,5,3,
129,1.0,,48,0,5,
131,1.0,,48,0,4,
130,0.9791666666666666,1.0,47,1,4,
132,1.0,,48,0,3,
133,1.0,,48,0,3,
137,1.0,,48,0,4,
134,1.0,,48,0,4,
135,1.0,,48,0,5,
136,0.8125,0.6068376068376068,39,9,5,
140,1.0,,48,0,4,
138,0.8958333333333334,0.8837209302325582,43,5,4,
139,1.0,,48,0,3,
141,1.0,,48,0,1,
143,0.0,,0,48,3,
142,1.0,,48,0,5,
144,1.0,,48,0,1,
145,0.9791666666666666,0.8085106382978723,47,1,5,
146,1.0,,48,0,3,
148,1.0,,48,0,1,
147,0.4791666666666667,0.7513043478260869,23,25,5,
151,1.0,,48,0,5,
149,1.0,,48,0,2,
150,0.0,,0,48,5,
152,0.4166666666666667,0.7464285714285714,20,28,5,
153,0.9791666666666666,0.7446808510638298,47,1,4,
155,1.0,,48,0,4,
154,0.0,,0,48,5,
158,1.0,,48,0,4,
156,0.0,,0,48,3,
157,0.0,,0,48,2,
159,1.0,,48,0,4,
160,1.0,,48,0,2,
161,1.0,,48,0,2,
162,1.0,,48,0,5,
163,1.0,,48,0,5,
165,0.9791666666666666,1.0,47,1,4,
164,0.125,0.5277777777777778,6,42,2,
167,1.0,,48,0,1,
168,0.5416666666666666,0.7954545454545454,26,22,5,
166,0.0,,0,48,5,
169,1.0,,48,0,2,
171,1.0,,48,0,1,
172,1.0,,48,0,1,
170,0.08333333333333333,0.7613636363636364,4,44,5,
176,1.0,,48,0,3,
174,1.0,,48,0,3,
173,0.5833333333333334,0.6946428571428571,28,20,5,
175,1.0,,48,0,2,
178,1.0,,48,0,2,
180,1.0,,48,0,3,
179,1.0,,48,0,4,
181,1.0,,48,0,3,
182,1.0,,48,0,2,
177,0.0,,0,48,3,
185,1.0,,48,0,1,
183,1.0,,48,0,4,
186,1.0,,48,0,4,
187,1.0,,48,0,1,
184,0.4166666666666667,0.8321428571428572,20,28,5,
191,1.0,,48,0,2,
190,1.0,,48,0,5,
188,0.8333333333333334,0.703125,40,8,5,
189,0.14583333333333334,0.7142857142857143,7,41,5,
192,1.0,,48,0,3,
193,1.0,,48,0,3,
195,1.0,,48,0,4,
196,1.0,,48,0,1,
194,0.6875,0.6828282828282828,33,15,5,
200,1.0,,48,0,4,
199,1.0,,48,0,2,
197,1.0,,48,0,5,
198,1.0,,48,0,3,
203,1.0,,48,0,3,
202,1.0,,48,0,5,
201,1.0,,48,0,4,
204,0.0,,0,48,5,
205,1.0,,48,0,3,
206,1.0,,48,0,2,
207,1.0,,48,0,2,
208,1.0,,48,0,3,
211,1.0,,48,0,2,
209,1.0,,48,0,2,
210,0.3958333333333333,0.9346642468239564,19,29,4,
212,1.0,,48,0,3,
214,1.0,,48,0,5,
215,1.0,,48,0,4,
216,1.0,,48,0,4,
213,1.0,,48,0,4,
218,1.0,,48,0,2,
217,0.4583333333333333,0.8216783216783217,22,26,4,
220,1.0,,48,0,5,
219,0.0,,0,48,4,
221,1.0,,48,0,3,
223,0.9791666666666666,1.0,47,1,3,
222,0.9583333333333334,1.0,46,2,4,
225,1.0,,48,0,3,
224,1.0,,48,0,4,
226,1.0,,48,0,3,
228,0.0,,0,48,4,
229,1.0,,48,0,4,
227,1.0,,48,0,3,
230,1.0,,48,0,4,
231,1.0,,48,0,4,
233,0.0,,0,48,2,
232,0.3541666666666667,0.5882352941176471,17,31,5,
235,0.0,,0,48,4,
234,1.0,,48,0,3,
236,0.041666666666666664,0.8369565217391305,2,46,4,
238,1.0,,48,0,5,
237,1.0,,48,0,1,
239,0.0,,0,48,5,
242,0.0,,0,48,5,
241,1.0,,48,0,5,
243,1.0,,48,0,2,
240,0.0,,0,48,4,
244,1.0,,48,0,5,
246,1.0,,48,0,2,
245,0.875,0.7341269841269841,42,6,4,
247,1.0,,48,0,3,
248,0.8541666666666666,0.4878048780487805,41,7,4,
249,1.0,,48,0,4,
253,1.0,,48,0,3,
250,1.0,,48,0,4,
251,0.9791666666666666,0.6808510638297872,47,1,5,
252,1.0,,48,0,5,
256,1.0,,48,0,3,
254,1.0,,48,0,5,
255,1.0,,48,0,2,
257,0.0,,0,48,4,
259,1.0,,48,0,1,
258,1.0,,48,0,3,
260,0.0,,0,48,3,
261,0.0,,0,48,3,
262,1.0,,48,0,1,
263,1.0,,48,0,4,
266,1.0,,48,0,3,
265,1.0,,48,0,2,
267,0.0,,0,48,1,
270,1.0,,48,0,1,
268,1.0,,48,0,1,
264,0.0,,0,48,5,
269,1.0,,48,0,3,
273,1.0,,48,0,4,
271,1.0,,48,0,4,
272,1.0,,48,0,4,
274,0.0,,0,48,5,
275,1.0,,48,0,2,
277,1.0,,48,0,4,
276,1.0,,48,0,5,
278,1.0,,48,0,3,
279,1.0,,48,0,5,
280,1.0,,48,0,4,
283,1.0,,48,0,3,
282,1.0,,48,0,4,
281,0.4166666666666667,0.9178571428571428,20,28,4,
284,0.0,,0,48,5,
285,0.125,0.6349206349206349,6,42,4,
287,1.0,,48,0,5,
286,0.0,,0,48,5,
288,0.9375,0.9185185185185185,45,3,5,
290,1.0,,48,0,3,
289,1.0,,48,0,3,
291,1.0,,48,0,4,
293,0.375,0.3611111111111111,18,30,5,
292,0.375,0.5333333333333333,18,30,4,
294,0.9791666666666666,0.5531914893617021,47,1,4,
295,1.0,,48,0,3,
298,1.0,,48,0,4,
297,1.0,,48,0,4,
296,1.0,,48,0,2,
299,1.0,,48,0,4,
301,0.0,,0,48,5,
300,1.0,,48,0,4,
303,0.875,0.9365079365079365,42,6,5,
302,0.2708333333333333,0.09010989010989011,13,35,4,
304,1.0,,48,0,3,
305,0.0,,0,48,4,
307,1.0,,48,0,2,
306,0.0,,0,48,5,
308,0.0,,0,48,5,
309,0.3333333333333333,0.69140625,16,32,3,
310,1.0,,48,0,2,
311,1.0,,48,0,4,
313,1.0,,48,0,5,
312,1.0,,48,0,1,
314,1.0,,48,0,2,
315,0.9791666666666666,0.9574468085106383,47,1,4,
316,1.0,,48,0,2,
318,0.3958333333333333,0.29219600725952816,19,29,2,
317,0.6458333333333334,0.45540796963946867,31,17,5,
319,1.0,,48,0,3,
321,1.0,,48,0,5,
320,1.0,,48,0,5,
322,1.0,,48,0,3,
325,1.0,,48,0,2,
323,0.8541666666666666,0.6411149825783972,41,7,5,
324,0.020833333333333332,0.5531914893617021,1,47,4,
326,1.0,,48,0,2,
329,1.0,,48,0,4,
330,1.0,,48,0,5,
327,0.125,0.4246031746031746,6,42,5,
331,1.0,,48,0,5,
328,0.2708333333333333,0.7868131868131868,13,35,5,
334,1.0,,48,0,3,
332,1.0,,48,0,4,
336,1.0,,48,0,1,
335,1.0,,48,0,4,
333,0.9791666666666666,0.723404255319149,47,1,4,
337,1.0,,48,0,3,
338,1.0,,48,0,3,
339,1.0,,48,0,3,
340,0.0,,0,48,3,
341,1.0,,48,0,4,
342,1.0,,48,0,3,
343,1.0,,48,0,2,
345,1.0,,48,0,3,
346,0.9791666666666666,0.44680851063829785,47,1,4,
344,1.0,,48,0,2,
347,0.0,,0,48,3,
348,1.0,,48,0,2,
350,1.0,,48,0,2,
353,1.0,,48,0,4,
349,0.20833333333333334,0.7263157894736842,10,38,4,
352,0.0,,0,48,4,
351,0.8125,0.47863247863247865,39,9,3,
354,1.0,,48,0,4,
357,1.0,,48,0,5,
356,1.0,,48,0,5,
355,0.5,0.4461805555555556,24,24,5,
358,1.0,,48,0,2,
360,1.0,,48,0,3,
359,0.9791666666666666,0.44680851063829785,47,1,4,
362,0.0,,0,48,1,
363,1.0,,48,0,2,
364,1.0,,48,0,4,
361,0.0,,0,48,4,
366,0.9583333333333334,0.9456521739130435,46,2,4,
367,1.0,,48,0,4,
368,1.0,,48,0,2,
365,0.625,0.5851851851851851,30,18,5,
370,1.0,,48,0,1,
369,1.0,,48,0,2,
373,1.0,,48,0,5,
372,1.0,,48,0,2,
374,1.0,,48,0,1,
371,0.25,0.8680555555555556,12,36,5,
375,1.0,,48,0,5,
376,0.9791666666666666,0.9787234042553191,47,1,4,
377,1.0,,48,0,3,
378,1.0,,48,0,3,
380,1.0,,48,0,4,
379,0.0,,0,48,4,
384,1.0,,48,0,2,
382,1.0,,48,0,5,
381,0.7083333333333334,0.9243697478991597,34,14,5,
385,1.0,,48,0,5,
383,0.0,,0,48,4,
387,1.0,,48,0,1,
386,1.0,,48,0,3,
388,1.0,,48,0,5,
389,1.0,,48,0,3,
391,1.0,,48,0,5,
393,0.0,,0,48,3,
390,1.0,,48,0,5,
392,0.3541666666666667,0.6527514231499051,17,31,5,
395,1.0,,48,0,1,
397,1.0,,48,0,2,
394,0.7083333333333334,0.615546218487395,34,14,5,
398,1.0,,48,0,4,
399,1.0,,48,0,2,
396,0.3333333333333333,0.71875,16,32,3,
402,1.0,,48,0,3,
403,1.0,,48,0,4,
404,1.0,,48,0,1,
401,0.0625,0.6074074074074074,3,45,5,
400,0.0,,0,48,5,
405,1.0,,48,0,4,
406,1.0,,48,0,1,
407,1.0,,48,0,4,
411,1.0,,48,0,3,
408,0.1875,0.5242165242165242,9,39,5,
410,1.0,,48,0,2,
409,0.0,,0,48,4,
413,1.0,,48,0,2,
414,1.0,,48,0,4,
415,1.0,,48,0,5,
412,1.0,,48,0,4,
417,1.0,,48,0,5,
416,1.0,,48,0,3,
418,1.0,,48,0,5,
420,0.0,,0,48,3,
419,0.6666666666666666,0.4453125,32,16,4,
421,0.22916666666666666,0.4864864864864865,11,37,5,
424,1.0,,48,0,5,
423,1.0,,48,0,5,
422,0.0,,0,48,5,
427,1.0,,48,0,2,
426,1.0,,48,0,3,
425,0.0,,0,48,5,
428,1.0,,48,0,4,
430,1.0,,48,0,2,
429,0.9791666666666666,0.9787234042553191,47,1,3,
433,1.0,,48,0,2,
432,1.0,,48,0,5,
